"filename", "language", "PHP", "HTML", "CSS", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Student\practiceCenter.css", "CSS", 0, 0, 94, 0, 0, 0, 2, 10, 106
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Teacher\ExerciseCenter.css", "CSS", 0, 0, 252, 0, 0, 0, 12, 31, 295
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Teacher\Issue.css", "CSS", 0, 0, 247, 0, 0, 0, 12, 30, 289
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Teacher\Set.css", "CSS", 0, 0, 142, 0, 0, 0, 2, 22, 166
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Teacher\UserCenter.css", "CSS", 0, 0, 83, 0, 0, 0, 1, 11, 95
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\myGrades.css", "CSS", 0, 0, 22, 0, 0, 0, 1, 0, 23
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\techer_login.css", "CSS", 0, 0, 161, 0, 0, 0, 0, 25, 186
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\index.html", "HTML", 0, 41, 0, 0, 0, 0, 25, 4, 70
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\LoginRegister\StudentLogin.js", "JavaScript", 0, 0, 0, 57, 0, 0, 2, 2, 61
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\LoginRegister\TeacherLogin.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 1, 35
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Student\ExamTemplate.js", "JavaScript", 0, 0, 0, 99, 0, 0, 11, 6, 116
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Student\changepwd.js", "JavaScript", 0, 0, 0, 45, 0, 0, 8, 0, 53
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Student\myGrades.js", "JavaScript", 0, 0, 0, 195, 0, 0, 18, 14, 227
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Student\practiceCenter.js", "JavaScript", 0, 0, 0, 108, 0, 0, 7, 9, 124
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Teacher\ExerciseCenter.js", "JavaScript", 0, 0, 0, 226, 0, 0, 18, 9, 253
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Teacher\Issue.js", "JavaScript", 0, 0, 0, 179, 0, 0, 18, 8, 205
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Teacher\Set.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 1, 35
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\Teacher\UserCenter.js", "JavaScript", 0, 0, 0, 40, 0, 0, 2, 3, 45
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\js\myGrades.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\LoginRegister\StuLogRegJudeg.php", "PHP", 68, 0, 0, 0, 0, 0, 6, 7, 81
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\LoginRegister\StudentLogin.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 4, 75
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\LoginRegister\TeaLogJudge.php", "PHP", 49, 0, 0, 0, 0, 0, 3, 4, 56
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\LoginRegister\TeacherLogin.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 5, 72
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\LoginRegister\ajaxjudge.php", "PHP", 39, 0, 0, 0, 0, 0, 7, 6, 52
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\ChangeInfo.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 3, 77
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\ChangeInfoJud.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 13, 113
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\ExamJud.php", "PHP", 84, 0, 0, 0, 0, 0, 6, 5, 95
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\ExamTemplate.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 3, 91
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\Home.php", "PHP", 33, 0, 0, 0, 0, 0, 1, 3, 37
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\JudgeAuto.php", "PHP", 53, 0, 0, 0, 0, 0, 7, 4, 64
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\MyGradeJudge.php", "PHP", 159, 0, 0, 0, 0, 0, 15, 8, 182
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\MyGrades.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 3, 103
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\PraCenJud.php", "PHP", 65, 0, 0, 0, 0, 0, 3, 3, 71
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Student\PracticeCenter.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 3, 59
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\ExerciseCenter.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 2, 103
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\ExerciseJudge.php", "PHP", 159, 0, 0, 0, 0, 0, 18, 8, 185
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\Issue.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 3, 102
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\IssueJudge.php", "PHP", 124, 0, 0, 0, 0, 0, 64, 7, 195
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\Set.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 1, 57
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\SetJudge.php", "PHP", 61, 0, 0, 0, 0, 0, 2, 5, 68
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\UserCenter.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 3, 49
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\Teacher\UserCenterJudge.php", "PHP", 67, 0, 0, 0, 0, 0, 1, 1, 69
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\php\notFindPage.html", "HTML", 0, 71, 0, 0, 0, 0, 0, 9, 80
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\sql.php", "PHP", 10, 0, 0, 0, 0, 0, 89, 10, 109
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\LoginRegister\header.css", "CSS", 0, 0, 75, 0, 0, 0, 0, 11, 86
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\LoginRegister\header.html", "HTML", 0, 18, 0, 0, 0, 0, 2, 0, 20
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\Student\header.css", "CSS", 0, 0, 89, 0, 0, 0, 3, 6, 98
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\Student\header.html", "HTML", 0, 20, 0, 0, 0, 0, 2, 0, 22
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\Teacher\header.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\Teacher\header.html", "HTML", 0, 20, 0, 0, 0, 0, 4, 0, 24
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\css\init.css", "CSS", 0, 0, 56, 0, 0, 0, 10, 12, 78
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\animate.js", "JavaScript", 0, 0, 0, 12, 0, 0, 12, 2, 26
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\auto_type.js", "JavaScript", 0, 0, 0, 48, 0, 0, 8, 1, 57
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\click_fireworks.js", "JavaScript", 0, 0, 0, 127, 0, 0, 1, 7, 135
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\click_love.js", "JavaScript", 0, 0, 0, 47, 0, 0, 1, 4, 52
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\click_text.js", "JavaScript", 0, 0, 0, 35, 0, 0, 3, 8, 46
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\close_tip.js", "JavaScript", 0, 0, 0, 11, 0, 0, 2, 0, 13
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\cobweb_background.js", "JavaScript", 0, 0, 0, 38, 0, 0, 1, 5, 44
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\dancing_ribbon.js", "JavaScript", 0, 0, 0, 282, 0, 0, 4, 0, 286
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\love_snowflakes.js.html", "HTML", 0, 246, 0, 0, 0, 0, 18, 38, 302
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\particle_trail.js", "JavaScript", 0, 0, 0, 95, 0, 0, 13, 22, 130
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\sakura_falling.js", "JavaScript", 0, 0, 0, 157, 0, 0, 1, 10, 168
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\star_trail.js", "JavaScript", 0, 0, 0, 87, 0, 0, 14, 27, 128
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\js\title_switch.js", "JavaScript", 0, 0, 0, 23, 0, 0, 25, 3, 51
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\php\adminConn.php", "PHP", 6, 0, 0, 0, 0, 0, 7, 0, 13
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\php\ajaxserver.php", "PHP", 4, 0, 0, 0, 0, 0, 12, 2, 18
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\php\stuConn.php", "PHP", 6, 0, 0, 0, 0, 0, 4, 0, 10
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\common\php\teaConn.php", "PHP", 6, 0, 0, 0, 0, 0, 4, 0, 10
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\icomoon\demo-files\demo.css", "CSS", 0, 0, 154, 0, 0, 0, 0, 2, 156
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\icomoon\demo-files\demo.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\icomoon\demo.html", "HTML", 0, 345, 0, 0, 0, 0, 2, 3, 350
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\icomoon\fonts\icomoon.svg", "XML", 0, 0, 0, 0, 0, 32, 0, 0, 32
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\icomoon\selection.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\icomoon\style.css", "CSS", 0, 0, 88, 0, 0, 0, 2, 4, 94
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\libraries\EventListene.js", "JavaScript", 0, 0, 0, 26, 0, 0, 2, 2, 30
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\libraries\window.onbeforeunload.js", "JavaScript", 0, 0, 0, 7, 0, 0, 5, 0, 12
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\static\libraries\xhr.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\12\1675244265718.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\13\1675251398749.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\13\1675252340546.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\13\1675252457936.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\2021113134\1675170768311.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\5\1674612669588.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\5\1674629922539.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\5\1674630131857.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\5\1674630137723.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\5\1674630149180.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674636124392.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674826177999.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674826404592.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674841395571.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674902847088.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 3, 59
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674902851396.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 3, 59
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674903615942.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674903656692.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674903754991.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674903759128.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674903764192.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674903986743.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674904070431.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674904074613.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674904079140.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674904086883.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674904267754.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674908492808.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674909404980.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674910212549.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674921699364.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674922471482.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674973895238.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674981096768.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674981193992.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\6\1674983534738.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\7\1674731888841.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\7\1674922503272.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\7\1674923531964.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\8\1674995994055.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\8\1674996406997.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\temp\8\1674996800723.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\test1.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 4, 53
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\test1.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\test2.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 5, 25
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\test2.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 9
"Total", "-", 2027, 830, 2208, 2057, 1, 365, 548, 593, 8629
